,Iteration,RMSE,Time,cache_size,data_type,is_fast,is_zfp,matrix_width,zfp_rate
0,0,0.0,0.0,0,double,False,False,128,1
1,1,0.0,0.0,0,double,False,False,128,1
2,2,0.0,0.0,0,double,False,False,128,1
3,3,0.0,0.0,0,double,False,False,128,1
4,4,0.0,0.0,0,double,False,False,128,1
5,0,0.0,0.1,0,double,False,True,128,1
6,1,0.0,0.1,0,double,False,True,128,1
7,2,0.0,0.09,0,double,False,True,128,1
8,3,0.0,0.11,0,double,False,True,128,1
9,4,0.0,0.09,0,double,False,True,128,1
10,0,0.0,0.02,0,double,True,True,128,1
11,1,0.0,0.02,0,double,True,True,128,1
12,2,0.0,0.02,0,double,True,True,128,1
13,3,0.0,0.02,0,double,True,True,128,1
14,4,0.0,0.02,0,double,True,True,128,1
15,0,0.0,0.0,0,double,False,False,128,4
16,1,0.0,0.0,0,double,False,False,128,4
17,2,0.0,0.0,0,double,False,False,128,4
18,3,0.0,0.0,0,double,False,False,128,4
19,4,0.0,0.0,0,double,False,False,128,4
20,0,0.0,0.09,0,double,False,True,128,4
21,1,0.0,0.1,0,double,False,True,128,4
22,2,0.0,0.1,0,double,False,True,128,4
23,3,0.0,0.09,0,double,False,True,128,4
24,4,0.0,0.1,0,double,False,True,128,4
25,0,0.0,0.02,0,double,True,True,128,4
26,1,0.0,0.02,0,double,True,True,128,4
27,2,0.0,0.02,0,double,True,True,128,4
28,3,0.0,0.02,0,double,True,True,128,4
29,4,0.0,0.02,0,double,True,True,128,4
30,0,0.0,0.0,0,double,False,False,128,2
31,1,0.0,0.0,0,double,False,False,128,2
32,2,0.0,0.0,0,double,False,False,128,2
33,3,0.0,0.0,0,double,False,False,128,2
34,4,0.0,0.0,0,double,False,False,128,2
35,0,0.0,0.09,0,double,False,True,128,2
36,1,0.0,0.1,0,double,False,True,128,2
37,2,0.0,0.09,0,double,False,True,128,2
38,3,0.0,0.1,0,double,False,True,128,2
39,4,0.0,0.09,0,double,False,True,128,2
40,0,0.0,0.02,0,double,True,True,128,2
41,1,0.0,0.02,0,double,True,True,128,2
42,2,0.0,0.02,0,double,True,True,128,2
43,3,0.0,0.02,0,double,True,True,128,2
44,4,0.0,0.02,0,double,True,True,128,2
45,0,0.0,0.0,0,double,False,False,128,16
46,1,0.0,0.0,0,double,False,False,128,16
47,2,0.0,0.0,0,double,False,False,128,16
48,3,0.0,0.0,0,double,False,False,128,16
49,4,0.0,0.0,0,double,False,False,128,16
50,0,0.0,0.17,0,double,False,True,128,16
51,1,0.0,0.17,0,double,False,True,128,16
52,2,0.0,0.17,0,double,False,True,128,16
53,3,0.0,0.17,0,double,False,True,128,16
54,4,0.0,0.17,0,double,False,True,128,16
55,0,0.0,0.02,0,double,True,True,128,16
56,1,0.0,0.02,0,double,True,True,128,16
57,2,0.0,0.02,0,double,True,True,128,16
58,3,0.0,0.03,0,double,True,True,128,16
59,4,0.0,0.02,0,double,True,True,128,16
60,0,0.0,0.0,0,double,False,False,128,64
61,1,0.0,0.0,0,double,False,False,128,64
62,2,0.0,0.0,0,double,False,False,128,64
63,3,0.0,0.0,0,double,False,False,128,64
64,4,0.0,0.0,0,double,False,False,128,64
65,0,0.0,0.17,0,double,False,True,128,64
66,1,0.0,0.18,0,double,False,True,128,64
67,2,0.0,0.18,0,double,False,True,128,64
68,3,0.0,0.18,0,double,False,True,128,64
69,4,0.0,0.17,0,double,False,True,128,64
70,0,0.0,0.02,0,double,True,True,128,64
71,1,0.0,0.03,0,double,True,True,128,64
72,2,0.0,0.02,0,double,True,True,128,64
73,3,0.0,0.03,0,double,True,True,128,64
74,4,0.0,0.02,0,double,True,True,128,64
75,0,0.0,0.0,0,double,False,False,128,8
76,1,0.0,0.0,0,double,False,False,128,8
77,2,0.0,0.0,0,double,False,False,128,8
78,3,0.0,0.0,0,double,False,False,128,8
79,4,0.0,0.0,0,double,False,False,128,8
80,0,0.0,0.14,0,double,False,True,128,8
81,1,0.0,0.15,0,double,False,True,128,8
82,2,0.0,0.14,0,double,False,True,128,8
83,3,0.0,0.15,0,double,False,True,128,8
84,4,0.0,0.14,0,double,False,True,128,8
85,0,0.0,0.02,0,double,True,True,128,8
86,1,0.0,0.02,0,double,True,True,128,8
87,2,0.0,0.02,0,double,True,True,128,8
88,3,0.0,0.02,0,double,True,True,128,8
89,4,0.0,0.02,0,double,True,True,128,8
90,0,0.0,0.0,0,double,False,False,128,32
91,1,0.0,0.0,0,double,False,False,128,32
92,2,0.0,0.0,0,double,False,False,128,32
93,3,0.0,0.0,0,double,False,False,128,32
94,4,0.0,0.0,0,double,False,False,128,32
95,0,0.0,0.17,0,double,False,True,128,32
96,1,0.0,0.17,0,double,False,True,128,32
97,2,0.0,0.17,0,double,False,True,128,32
98,3,0.0,0.17,0,double,False,True,128,32
99,4,0.0,0.18,0,double,False,True,128,32
100,0,0.0,0.02,0,double,True,True,128,32
101,1,0.0,0.02,0,double,True,True,128,32
102,2,0.0,0.03,0,double,True,True,128,32
103,3,0.0,0.02,0,double,True,True,128,32
104,4,0.0,0.02,0,double,True,True,128,32
105,0,0.0,1.66,0,double,False,False,1024,2
106,1,0.0,1.67,0,double,False,False,1024,2
107,2,0.0,1.67,0,double,False,False,1024,2
108,3,0.0,1.68,0,double,False,False,1024,2
109,4,0.0,1.68,0,double,False,False,1024,2
110,0,0.0,48.66,0,double,False,True,1024,2
111,1,0.0,48.73,0,double,False,True,1024,2
112,2,0.0,48.73,0,double,False,True,1024,2
113,3,0.0,48.72,0,double,False,True,1024,2
114,4,0.0,48.75,0,double,False,True,1024,2
115,0,0.0,10.39,0,double,True,True,1024,2
116,1,0.0,10.41,0,double,True,True,1024,2
117,2,0.0,10.46,0,double,True,True,1024,2
118,3,0.0,10.4,0,double,True,True,1024,2
119,4,0.0,10.4,0,double,True,True,1024,2
120,0,0.0,1.57,0,double,False,False,1024,1
121,1,0.0,1.58,0,double,False,False,1024,1
122,2,0.0,1.57,0,double,False,False,1024,1
123,3,0.0,1.58,0,double,False,False,1024,1
124,4,0.0,1.58,0,double,False,False,1024,1
125,0,0.0,50.46,0,double,False,True,1024,1
126,1,0.0,50.16,0,double,False,True,1024,1
127,2,0.0,50.12,0,double,False,True,1024,1
128,3,0.0,50.24,0,double,False,True,1024,1
129,4,0.0,50.24,0,double,False,True,1024,1
130,0,0.0,10.42,0,double,True,True,1024,1
131,1,0.0,10.47,0,double,True,True,1024,1
132,2,0.0,10.46,0,double,True,True,1024,1
133,3,0.0,10.48,0,double,True,True,1024,1
134,4,0.0,10.46,0,double,True,True,1024,1
135,0,0.0,1.61,0,double,False,False,1024,8
136,1,0.0,1.62,0,double,False,False,1024,8
137,2,0.0,1.61,0,double,False,False,1024,8
138,3,0.0,1.62,0,double,False,False,1024,8
139,4,0.0,1.61,0,double,False,False,1024,8
140,0,0.0,81.18,0,double,False,True,1024,8
141,1,0.0,81.16,0,double,False,True,1024,8
142,2,0.0,81.17,0,double,False,True,1024,8
143,3,0.0,81.17,0,double,False,True,1024,8
144,4,0.0,81.16,0,double,False,True,1024,8
145,0,0.0,11.31,0,double,True,True,1024,8
146,1,0.0,11.31,0,double,True,True,1024,8
147,2,0.0,11.31,0,double,True,True,1024,8
148,3,0.0,11.31,0,double,True,True,1024,8
149,4,0.0,11.31,0,double,True,True,1024,8
150,0,0.0,1.58,0,double,False,False,1024,32
151,1,0.0,1.58,0,double,False,False,1024,32
152,2,0.0,1.58,0,double,False,False,1024,32
153,3,0.0,1.58,0,double,False,False,1024,32
154,4,0.0,1.58,0,double,False,False,1024,32
155,0,0.0,91.87,0,double,False,True,1024,32
156,1,0.0,91.74,0,double,False,True,1024,32
157,2,0.0,91.8,0,double,False,True,1024,32
158,3,0.0,91.74,0,double,False,True,1024,32
159,4,0.0,91.75,0,double,False,True,1024,32
160,0,0.0,11.66,0,double,True,True,1024,32
161,1,0.0,11.66,0,double,True,True,1024,32
162,2,0.0,11.66,0,double,True,True,1024,32
163,3,0.0,11.67,0,double,True,True,1024,32
164,4,0.0,11.67,0,double,True,True,1024,32
165,0,0.0,1.54,0,double,False,False,1024,4
166,1,0.0,1.55,0,double,False,False,1024,4
167,2,0.0,1.54,0,double,False,False,1024,4
168,3,0.0,1.55,0,double,False,False,1024,4
169,4,0.0,1.54,0,double,False,False,1024,4
170,0,0.0,48.68,0,double,False,True,1024,4
171,1,0.0,48.67,0,double,False,True,1024,4
172,2,0.0,48.69,0,double,False,True,1024,4
173,3,0.0,48.78,0,double,False,True,1024,4
174,4,0.0,48.75,0,double,False,True,1024,4
175,0,0.0,10.39,0,double,True,True,1024,4
176,1,0.0,10.46,0,double,True,True,1024,4
177,2,0.0,10.39,0,double,True,True,1024,4
178,3,0.0,10.39,0,double,True,True,1024,4
179,4,0.0,10.38,0,double,True,True,1024,4
180,0,0.0,1.55,0,double,False,False,1024,16
181,1,0.0,1.55,0,double,False,False,1024,16
182,2,0.0,1.55,0,double,False,False,1024,16
183,3,0.0,1.55,0,double,False,False,1024,16
184,4,0.0,1.56,0,double,False,False,1024,16
185,0,0.0,88.43,0,double,False,True,1024,16
186,1,0.0,88.52,0,double,False,True,1024,16
187,2,0.0,88.53,0,double,False,True,1024,16
188,3,0.0,88.54,0,double,False,True,1024,16
189,4,0.0,88.52,0,double,False,True,1024,16
190,0,0.0,11.31,0,double,True,True,1024,16
191,1,0.0,11.31,0,double,True,True,1024,16
192,2,0.0,11.31,0,double,True,True,1024,16
193,3,0.0,11.31,0,double,True,True,1024,16
194,4,0.0,11.31,0,double,True,True,1024,16
195,0,0.0,1.6,0,double,False,False,1024,64
196,1,0.0,1.61,0,double,False,False,1024,64
197,2,0.0,1.61,0,double,False,False,1024,64
198,3,0.0,1.6,0,double,False,False,1024,64
199,4,0.0,1.61,0,double,False,False,1024,64
200,0,0.0,91.52,0,double,False,True,1024,64
201,1,0.0,91.63,0,double,False,True,1024,64
202,2,0.0,91.64,0,double,False,True,1024,64
203,3,0.0,91.51,0,double,False,True,1024,64
204,4,0.0,91.5,0,double,False,True,1024,64
205,0,0.0,11.67,0,double,True,True,1024,64
206,1,0.0,11.67,0,double,True,True,1024,64
207,2,0.0,11.67,0,double,True,True,1024,64
208,3,0.0,11.66,0,double,True,True,1024,64
209,4,0.0,11.67,0,double,True,True,1024,64
210,0,0.0,0.0,0,double,False,False,256,1
211,1,0.0,0.01,0,double,False,False,256,1
212,2,0.0,0.01,0,double,False,False,256,1
213,3,0.0,0.01,0,double,False,False,256,1
214,4,0.0,0.01,0,double,False,False,256,1
215,0,0.0,0.78,0,double,False,True,256,1
216,1,0.0,0.78,0,double,False,True,256,1
217,2,0.0,0.79,0,double,False,True,256,1
218,3,0.0,0.79,0,double,False,True,256,1
219,4,0.0,0.79,0,double,False,True,256,1
220,0,0.0,0.16,0,double,True,True,256,1
221,1,0.0,0.17,0,double,True,True,256,1
222,2,0.0,0.16,0,double,True,True,256,1
223,3,0.0,0.16,0,double,True,True,256,1
224,4,0.0,0.17,0,double,True,True,256,1
225,0,0.0,0.01,0,double,False,False,256,32
226,1,0.0,0.01,0,double,False,False,256,32
227,2,0.0,0.01,0,double,False,False,256,32
228,3,0.0,0.01,0,double,False,False,256,32
229,4,0.0,0.01,0,double,False,False,256,32
230,0,0.0,1.41,0,double,False,True,256,32
231,1,0.0,1.4,0,double,False,True,256,32
232,2,0.0,1.4,0,double,False,True,256,32
233,3,0.0,1.4,0,double,False,True,256,32
234,4,0.0,1.4,0,double,False,True,256,32
235,0,0.0,0.19,0,double,True,True,256,32
236,1,0.0,0.18,0,double,True,True,256,32
237,2,0.0,0.18,0,double,True,True,256,32
238,3,0.0,0.19,0,double,True,True,256,32
239,4,0.0,0.18,0,double,True,True,256,32
240,0,0.0,0.0,0,double,False,False,256,4
241,1,0.0,0.01,0,double,False,False,256,4
242,2,0.0,0.01,0,double,False,False,256,4
243,3,0.0,0.01,0,double,False,False,256,4
244,4,0.0,0.01,0,double,False,False,256,4
245,0,0.0,0.76,0,double,False,True,256,4
246,1,0.0,0.75,0,double,False,True,256,4
247,2,0.0,0.75,0,double,False,True,256,4
248,3,0.0,0.76,0,double,False,True,256,4
249,4,0.0,0.76,0,double,False,True,256,4
250,0,0.0,0.16,0,double,True,True,256,4
251,1,0.0,0.17,0,double,True,True,256,4
252,2,0.0,0.17,0,double,True,True,256,4
253,3,0.0,0.16,0,double,True,True,256,4
254,4,0.0,0.17,0,double,True,True,256,4
255,0,0.0,0.01,0,double,False,False,256,2
256,1,0.0,0.0,0,double,False,False,256,2
257,2,0.0,0.01,0,double,False,False,256,2
258,3,0.0,0.01,0,double,False,False,256,2
259,4,0.0,0.01,0,double,False,False,256,2
260,0,0.0,0.76,0,double,False,True,256,2
261,1,0.0,0.76,0,double,False,True,256,2
262,2,0.0,0.76,0,double,False,True,256,2
263,3,0.0,0.77,0,double,False,True,256,2
264,4,0.0,0.77,0,double,False,True,256,2
265,0,0.0,0.16,0,double,True,True,256,2
266,1,0.0,0.17,0,double,True,True,256,2
267,2,0.0,0.16,0,double,True,True,256,2
268,3,0.0,0.16,0,double,True,True,256,2
269,4,0.0,0.16,0,double,True,True,256,2
270,0,0.0,0.0,0,double,False,False,256,16
271,1,0.0,0.01,0,double,False,False,256,16
272,2,0.0,0.01,0,double,False,False,256,16
273,3,0.0,0.01,0,double,False,False,256,16
274,4,0.0,0.01,0,double,False,False,256,16
275,0,0.0,1.36,0,double,False,True,256,16
276,1,0.0,1.36,0,double,False,True,256,16
277,2,0.0,1.36,0,double,False,True,256,16
278,3,0.0,1.36,0,double,False,True,256,16
279,4,0.0,1.36,0,double,False,True,256,16
280,0,0.0,0.18,0,double,True,True,256,16
281,1,0.0,0.18,0,double,True,True,256,16
282,2,0.0,0.18,0,double,True,True,256,16
283,3,0.0,0.17,0,double,True,True,256,16
284,4,0.0,0.18,0,double,True,True,256,16
285,0,0.0,0.01,0,double,False,False,256,64
286,1,0.0,0.01,0,double,False,False,256,64
287,2,0.0,0.01,0,double,False,False,256,64
288,3,0.0,0.01,0,double,False,False,256,64
289,4,0.0,0.01,0,double,False,False,256,64
290,0,0.0,1.4,0,double,False,True,256,64
291,1,0.0,1.41,0,double,False,True,256,64
292,2,0.0,1.41,0,double,False,True,256,64
293,3,0.0,1.4,0,double,False,True,256,64
294,4,0.0,1.4,0,double,False,True,256,64
295,0,0.0,0.18,0,double,True,True,256,64
296,1,0.0,0.18,0,double,True,True,256,64
297,2,0.0,0.19,0,double,True,True,256,64
298,3,0.0,0.18,0,double,True,True,256,64
299,4,0.0,0.18,0,double,True,True,256,64
300,0,0.0,0.01,0,double,False,False,256,8
301,1,0.0,0.0,0,double,False,False,256,8
302,2,0.0,0.01,0,double,False,False,256,8
303,3,0.0,0.01,0,double,False,False,256,8
304,4,0.0,0.01,0,double,False,False,256,8
305,0,0.0,1.16,0,double,False,True,256,8
306,1,0.0,1.18,0,double,False,True,256,8
307,2,0.0,1.17,0,double,False,True,256,8
308,3,0.0,1.16,0,double,False,True,256,8
309,4,0.0,1.17,0,double,False,True,256,8
310,0,0.0,0.17,0,double,True,True,256,8
311,1,0.0,0.16,0,double,True,True,256,8
312,2,0.0,0.16,0,double,True,True,256,8
313,3,0.0,0.16,0,double,True,True,256,8
314,4,0.0,0.17,0,double,True,True,256,8
315,0,0.0,0.19,0,double,False,False,512,8
316,1,0.0,0.19,0,double,False,False,512,8
317,2,0.0,0.2,0,double,False,False,512,8
318,3,0.0,0.19,0,double,False,False,512,8
319,4,0.0,0.2,0,double,False,False,512,8
320,0,0.0,10.0,0,double,False,True,512,8
321,1,0.0,10.0,0,double,False,True,512,8
322,2,0.0,10.0,0,double,False,True,512,8
323,3,0.0,10.0,0,double,False,True,512,8
324,4,0.0,10.0,0,double,False,True,512,8
325,0,0.0,1.41,0,double,True,True,512,8
326,1,0.0,1.42,0,double,True,True,512,8
327,2,0.0,1.41,0,double,True,True,512,8
328,3,0.0,1.42,0,double,True,True,512,8
329,4,0.0,1.41,0,double,True,True,512,8
330,0,0.0,0.19,0,double,False,False,512,1
331,1,0.0,0.2,0,double,False,False,512,1
332,2,0.0,0.2,0,double,False,False,512,1
333,3,0.0,0.19,0,double,False,False,512,1
334,4,0.0,0.2,0,double,False,False,512,1
335,0,0.0,6.27,0,double,False,True,512,1
336,1,0.0,6.27,0,double,False,True,512,1
337,2,0.0,6.27,0,double,False,True,512,1
338,3,0.0,6.28,0,double,False,True,512,1
339,4,0.0,6.28,0,double,False,True,512,1
340,0,0.0,1.31,0,double,True,True,512,1
341,1,0.0,1.3,0,double,True,True,512,1
342,2,0.0,1.31,0,double,True,True,512,1
343,3,0.0,1.3,0,double,True,True,512,1
344,4,0.0,1.3,0,double,True,True,512,1
345,0,0.0,0.21,0,double,False,False,512,32
346,1,0.0,0.21,0,double,False,False,512,32
347,2,0.0,0.21,0,double,False,False,512,32
348,3,0.0,0.21,0,double,False,False,512,32
349,4,0.0,0.22,0,double,False,False,512,32
350,0,0.0,11.26,0,double,False,True,512,32
351,1,0.0,11.25,0,double,False,True,512,32
352,2,0.0,11.25,0,double,False,True,512,32
353,3,0.0,11.25,0,double,False,True,512,32
354,4,0.0,11.25,0,double,False,True,512,32
355,0,0.0,1.46,0,double,True,True,512,32
356,1,0.0,1.46,0,double,True,True,512,32
357,2,0.0,1.46,0,double,True,True,512,32
358,3,0.0,1.46,0,double,True,True,512,32
359,4,0.0,1.46,0,double,True,True,512,32
360,0,0.0,0.19,0,double,False,False,512,4
361,1,0.0,0.2,0,double,False,False,512,4
362,2,0.0,0.19,0,double,False,False,512,4
363,3,0.0,0.19,0,double,False,False,512,4
364,4,0.0,0.2,0,double,False,False,512,4
365,0,0.0,6.1,0,double,False,True,512,4
366,1,0.0,6.1,0,double,False,True,512,4
367,2,0.0,6.11,0,double,False,True,512,4
368,3,0.0,6.13,0,double,False,True,512,4
369,4,0.0,6.13,0,double,False,True,512,4
370,0,0.0,1.3,0,double,True,True,512,4
371,1,0.0,1.3,0,double,True,True,512,4
372,2,0.0,1.3,0,double,True,True,512,4
373,3,0.0,1.3,0,double,True,True,512,4
374,4,0.0,1.3,0,double,True,True,512,4
375,0,0.0,0.19,0,double,False,False,512,2
376,1,0.0,0.2,0,double,False,False,512,2
377,2,0.0,0.2,0,double,False,False,512,2
378,3,0.0,0.19,0,double,False,False,512,2
379,4,0.0,0.2,0,double,False,False,512,2
380,0,0.0,6.1,0,double,False,True,512,2
381,1,0.0,6.04,0,double,False,True,512,2
382,2,0.0,6.04,0,double,False,True,512,2
383,3,0.0,6.05,0,double,False,True,512,2
384,4,0.0,6.05,0,double,False,True,512,2
385,0,0.0,1.33,0,double,True,True,512,2
386,1,0.0,1.3,0,double,True,True,512,2
387,2,0.0,1.31,0,double,True,True,512,2
388,3,0.0,1.34,0,double,True,True,512,2
389,4,0.0,1.3,0,double,True,True,512,2
390,0,0.0,0.19,0,double,False,False,512,16
391,1,0.0,0.2,0,double,False,False,512,16
392,2,0.0,0.2,0,double,False,False,512,16
393,3,0.0,0.19,0,double,False,False,512,16
394,4,0.0,0.2,0,double,False,False,512,16
395,0,0.0,10.87,0,double,False,True,512,16
396,1,0.0,10.85,0,double,False,True,512,16
397,2,0.0,10.85,0,double,False,True,512,16
398,3,0.0,10.86,0,double,False,True,512,16
399,4,0.0,10.86,0,double,False,True,512,16
400,0,0.0,1.41,0,double,True,True,512,16
401,1,0.0,1.42,0,double,True,True,512,16
402,2,0.0,1.42,0,double,True,True,512,16
403,3,0.0,1.41,0,double,True,True,512,16
404,4,0.0,1.42,0,double,True,True,512,16
405,0,0.0,0.2,0,double,False,False,512,64
406,1,0.0,0.21,0,double,False,False,512,64
407,2,0.0,0.21,0,double,False,False,512,64
408,3,0.0,0.2,0,double,False,False,512,64
409,4,0.0,0.21,0,double,False,False,512,64
410,0,0.0,11.32,0,double,False,True,512,64
411,1,0.0,11.34,0,double,False,True,512,64
412,2,0.0,11.33,0,double,False,True,512,64
413,3,0.0,11.33,0,double,False,True,512,64
414,4,0.0,11.34,0,double,False,True,512,64
415,0,0.0,1.46,0,double,True,True,512,64
416,1,0.0,1.46,0,double,True,True,512,64
417,2,0.0,1.46,0,double,True,True,512,64
418,3,0.0,1.47,0,double,True,True,512,64
419,4,0.0,1.46,0,double,True,True,512,64
